bin_id,x_left,x_right,x_center,n,y_q,ci_low,ci_high,y_median
0,0.186,0.322,0.254,6630,0.00029578400874660885,0.00027974701453871393,0.0003092038808782664,3.0879675999445345e-05
1,0.322,0.348,0.33499999999999996,6606,0.00031442609644587497,0.0002983252137877,0.00033217887219274997,2.8985470042238023e-05
2,0.348,0.366,0.357,6834,0.00031754909605586463,0.00029535744827793246,0.00033176286691588986,2.607429407222988e-05
3,0.366,0.382,0.374,6586,0.000317356609023675,0.000293366807074,0.000333955342050925,2.6182843632221645e-05
4,0.382,0.395,0.3885,6452,0.00031627697311221493,0.0002982869677861966,0.0003366667539446899,2.5141695200947477e-05
5,0.395,0.408,0.40149999999999997,6618,0.00033083519919076997,0.0003073997705839516,0.0003594621829744073,2.538039337170547e-05
6,0.408,0.421,0.4145,6708,0.0003381989766491646,0.00031563290236749506,0.000363719973542884,2.2564384297176217e-05
7,0.421,0.433,0.427,6704,0.00033195548814678465,0.00030947328890921106,0.0003498787091051,2.2599654013481912e-05
8,0.433,0.445,0.439,6918,0.0003374465078844849,0.00032158267185634665,0.0003535667081069,2.183880373008764e-05
9,0.445,0.457,0.451,6682,0.00031213458236294995,0.0002919581131075,0.0003360436530195525,1.8580728464679178e-05
10,0.457,0.469,0.46299999999999997,6654,0.00032955451224611,0.000313035509783,0.0003474452928338423,2.1583815412166628e-05
11,0.469,0.482,0.4755,6666,0.000316151187738375,0.00029723527725625693,0.00034608475900935437,2.0128492801652612e-05
12,0.482,0.495,0.4885,6574,0.00033464361506058994,0.000316562019860455,0.00036032118141987346,2.107801203717617e-05
13,0.495,0.509,0.502,6640,0.0003203067283882146,0.00030425799020520526,0.0003407952626960599,1.9728565775458454e-05
14,0.509,0.524,0.5165,6636,0.000309640865468975,0.00029136642633975624,0.000330448244968275,1.854159049948747e-05
15,0.524,0.539,0.5315000000000001,6752,0.00030177085044475496,0.00028532196594571,0.0003151900685324638,1.8268008155114918e-05
16,0.539,0.556,0.5475000000000001,6664,0.00028813075002511487,0.00027344468181357686,0.0003100771989367975,1.7958790378501878e-05
17,0.556,0.574,0.565,6554,0.0002908015654670649,0.0002751792405419617,0.0003047390006620512,1.7476539999898157e-05
18,0.574,0.594,0.584,6822,0.00026510098251326497,0.00025032830411240477,0.0002813133535350016,1.6943544840740148e-05
19,0.594,0.617,0.6054999999999999,6888,0.0002593128239187599,0.0002430564197528973,0.0002746904196832161,1.4879006461965312e-05
20,0.617,0.644,0.6305000000000001,6632,0.00026520778036856995,0.0002492906145281298,0.0002796744757731975,1.4196223546116342e-05
21,0.644,0.674,0.659,6758,0.0002456991789282349,0.00022743054723755828,0.00026279818648483497,1.2300151469042784e-05
22,0.674,0.708,0.6910000000000001,6634,0.00022880604631034447,0.0002166613354468,0.00024640953340799497,1.1195593901746454e-05
23,0.708,0.742,0.725,6652,0.0002120756528788299,0.0002002017594423801,0.00022578390444337256,1.0378447142317965e-05
24,0.742,0.775,0.7585,6722,0.00017759730286344,0.0001686811671559525,0.00018664571831835503,8.611231007678e-06
25,0.775,0.805,0.79,6560,0.0001589274145677299,0.0001517445198736082,0.0001669787072763147,6.547486099341413e-06
26,0.805,0.834,0.8195,6582,0.00013591439148889997,0.00012928110389531534,0.00014195872980591486,5.234481932802404e-06
27,0.834,0.864,0.849,6646,9.930817329485975e-05,9.415590036755003e-05,0.00010433432848054187,4.24420453333364e-06
28,0.864,0.899,0.8815,6632,7.538504968101153e-05,7.246746769275082e-05,7.85590067396942e-05,3.0475488576558755e-06
29,0.899,0.995,0.9470000000000001,6594,4.842254797084703e-05,4.6094298785525336e-05,5.0358460572742584e-05,1.6311004303466328e-06
