bin_id,share_after_mid,n,p90,p95,p99
0,0.0005200523212670297,40000,0.001094230108529497,0.0013746453635984552,0.00196144448606466
1,0.0024755910179525653,40000,0.001118377286493659,0.0014175154656994283,0.00212634900121815
2,0.006066415050569566,40000,0.0011525950044128383,0.0015098321790907006,0.00232986422053388
3,0.011004167929098706,40000,0.0011727645098629285,0.0015273348083110821,0.0024469714292669788
4,0.017183420924013277,40000,0.001201817787885198,0.0015671075451171735,0.002534042862338222
5,0.024687516206796135,40000,0.0012226396798255934,0.0016178858807273935,0.0026140575215753592
6,0.033721894887268906,40000,0.001215813644371497,0.0016323176384176528,0.0027150113357199295
7,0.044607165209153476,40000,0.0012477152196139524,0.0016667723995693893,0.002695788558874095
8,0.0577568497750243,40000,0.0012692609298620957,0.0016722214126174539,0.0027870852446997283
9,0.07368452236629819,40000,0.0012771391044343041,0.0016855320995107265,0.0028403570688044664
10,0.09315721308346823,40000,0.0013217346112158789,0.0017308619593339384,0.002911275472333857
11,0.11723735107189795,40000,0.001306621800961302,0.0017258569752994794,0.002879944445511606
12,0.14733210779112788,40000,0.0013516742007620476,0.0017726812866228658,0.0028296035755991625
13,0.18526125367111654,40000,0.0013556216800524863,0.0017614186140896472,0.0029089541545274673
14,0.23425580900371212,40000,0.0013685383743475648,0.0017756469216442655,0.0029115800916310703
15,0.30204492261113663,40000,0.0013871849626554997,0.001798093249707538,0.0029173881351122455
16,0.40120433411547674,40000,0.0013815557473924006,0.0017862416538011012,0.0029640670345490385
17,0.5476593510039813,40000,0.001289562054279063,0.0017094074900290794,0.00288447583576642
18,0.7565919109635122,40000,0.001067891845007856,0.0015079310222968236,0.002580952372001896
19,0.9391281659783384,40000,0.0010053937545890935,0.0013794712588185696,0.002296135749803062
