bin_id,share_after_mid,n,p90,p95,p99
0,0.0005200523212670297,19998,0.0010942291355377765,0.0013745849614982789,0.0019609652056349586
1,0.0024755910179525653,19996,0.0011174927345275437,0.0014155184235854512,0.0021263363341367126
2,0.006066415050569566,19983,0.0011476407802402326,0.0015044752115887874,0.002309583627523095
3,0.011004167929098706,19968,0.0011655774588375648,0.0015144577328776575,0.002431316150735275
4,0.017183420924013277,19995,0.001190217843953,0.001549687733993696,0.0025217101909807164
5,0.024687516206796135,19999,0.0012052856640383824,0.0015961154546188833,0.002581335694503113
6,0.033721894887268906,20031,0.0011922520492208583,0.001603425093475319,0.0026305625052645554
7,0.044607165209153476,20155,0.001206403601663189,0.0016182122191919371,0.002614743184949039
8,0.0577568497750243,20157,0.0012337670581350408,0.0016291628203455443,0.00268646975857785
9,0.07368452236629819,20348,0.0012296392555475742,0.001613216219071343,0.0027542365488506973
10,0.09315721308346823,20351,0.0012569617236324832,0.0016533681340877699,0.0027500135514672637
11,0.11723735107189795,20520,0.0012453212849606562,0.001639355108659309,0.0027565209420538192
12,0.14733210779112788,20400,0.0012541211736346264,0.001650288015128007,0.0026439049563287196
13,0.18526125367111654,20296,0.0012673850272312387,0.0016448358181135785,0.0026954625401927616
14,0.23425580900371212,20185,0.001267816351066985,0.0016554273498304742,0.0027116220802560365
15,0.30204492261113663,20839,0.0012369258735161976,0.001611172219469213,0.0027032563408955503
16,0.40120433411547674,21086,0.001218743355366619,0.0015552734502362214,0.002568099737576627
17,0.5476593510039813,24036,0.0010020314613573317,0.001306778323921253,0.002159932823483662
18,0.7565919109635122,24308,0.0006140530712689524,0.0008141977908103019,0.001354937624909251
19,0.9391281659783384,7349,0.00020686050178432355,0.00027084693615409623,0.00044199890046649323
