bin_id,share_after_mid,n,p90,p95,p99
0,0.0005200523212670297,20002,0.0010944128022727494,0.001374816343256204,0.0019614444860649224
1,0.0024755910179525653,20004,0.0011196510372126823,0.0014193448064639242,0.0021279162449678816
2,0.006066415050569566,20017,0.0011600383410421376,0.001517242712168718,0.00234392758202445
3,0.011004167929098706,20032,0.0011815131043551468,0.0015355256023729443,0.0024581712926909517
4,0.017183420924013277,20005,0.0012126935331351419,0.001578869259175587,0.002558104061294887
5,0.024687516206796135,20001,0.0012433644676885334,0.0016370157120419748,0.002644393034573367
6,0.033721894887268906,19969,0.001235156262534217,0.0016623035769970922,0.002757178795672891
7,0.044607165209153476,19845,0.0012828329428692426,0.0017154267223648517,0.002763805927918856
8,0.0577568497750243,19843,0.0013055096269533081,0.0017224995428452312,0.0028770760951397204
9,0.07368452236629819,19652,0.001328923048844676,0.0017545491627315773,0.002914654850555983
10,0.09315721308346823,19649,0.0013874028845375446,0.001807609736969475,0.003054559929263293
11,0.11723735107189795,19480,0.0013687832008834667,0.0018103087399197622,0.0030102038953898577
12,0.14733210779112788,19600,0.0014496963621843954,0.001889073923021192,0.0030343895630447083
13,0.18526125367111654,19704,0.0014458401490890181,0.001876616887660849,0.0030899029510032486
14,0.23425580900371212,19815,0.0014689873325801851,0.0019031110464258656,0.00312401994006211
15,0.30204492261113663,19161,0.0015344568201192408,0.001947564004909116,0.0031644994348875386
16,0.40120433411547674,18914,0.0015554133942749584,0.0019813711054316356,0.003299316146799376
17,0.5476593510039813,15964,0.0016636858821622322,0.0021026963133317597,0.0034451352390650163
18,0.7565919109635122,15692,0.0016051611343165437,0.0020033985892492895,0.003320193025677147
19,0.9391281659783384,32651,0.0011182193675786693,0.001486399863932656,0.002450613786656268
