bin,x_left,x_right,x_mid,n,pt_norm_p90,abs_shift_p90,pt_norm_p95,abs_shift_p95,pt_norm_p99,abs_shift_p99
0,0.0,0.05,0.025,318242,2.465919710697231e-05,1.5950690455253808e-05,4.124216152663908e-05,2.4998673729621443e-05,0.00010138442128794568,5.490223705380078e-05
1,0.05,0.1,0.07500000000000001,115037,8.502639080833796e-05,5.906216945467806e-05,0.00014016885399582835,8.52643262853066e-05,0.000298067539429968,0.0001589602597963
2,0.1,0.15000000000000002,0.125,70984,0.00013358174705182602,9.954547909065496e-05,0.0002186828948894298,0.0001419122274228098,0.0004727006582940318,0.000260217078252064
3,0.15000000000000002,0.2,0.17500000000000002,50351,0.0001846198074968,0.0001431558554806,0.0003007517217386,0.00019831265700075,0.0006440428601555,0.00035744482721145
4,0.2,0.25,0.225,37629,0.00024095884313000005,0.00018404028666962007,0.0003745359317624799,0.00025253871177237993,0.0007647267393479764,0.0004295329098337331
5,0.25,0.30000000000000004,0.275,28764,0.00028042011282321006,0.0002250133588538,0.00042122265829374966,0.0003011141642669599,0.0008634474984204643,0.0005117262153657634
6,0.30000000000000004,0.35000000000000003,0.32500000000000007,22179,0.0003184136171095203,0.0002658081321443401,0.0004704701664861594,0.00035384518225482,0.0009004353441882031,0.000599337380802027
7,0.35000000000000003,0.4,0.375,17890,0.00036585356419072015,0.00030355367020212,0.0005340409095807998,0.0004004158170099345,0.0010108522668314422,0.0006774938251390275
8,0.4,0.45,0.42500000000000004,15951,0.0004232618946886,0.0003437165233365,0.000590344853553125,0.00045466129110509996,0.0010847273909076,0.0007321615612401
9,0.45,0.5,0.475,12904,0.00038056411542426033,0.0003421099722818702,0.0005115015425122797,0.00044971751152437974,0.0008485082427025495,0.0007361715115554826
10,0.5,0.55,0.525,11611,0.0003542873071566,0.0003620401245987,0.00047590690575775,0.0005045607090596,0.000795199011442529,0.0008864987182893192
11,0.55,0.6000000000000001,0.5750000000000001,11080,0.00035797116758891015,0.0003888843016462301,0.0004884036271733993,0.000530920418272385,0.0008339469551891493,0.0009018781978327346
12,0.6000000000000001,0.65,0.625,10392,0.00037100011324369986,0.00039575601978284993,0.0005044322950211647,0.0005545831171829999,0.0008823269933437044,0.0009753266294811306
13,0.65,0.7000000000000001,0.675,9818,0.00036829919226554034,0.00039356590279251047,0.0005141647756507713,0.0005529618897441249,0.0008900103560653405,0.000971796990816029
14,0.7000000000000001,0.75,0.7250000000000001,8813,0.0003649063647765201,0.00039776222528538005,0.0005253535721105199,0.0005519119709114996,0.0009381154012978548,0.001022278312280781
15,0.75,0.8,0.775,7762,0.00039220629368697505,0.00043005543750602006,0.0005857431844265648,0.0006255105187107899,0.0010619935362077245,0.0011917368875577533
16,0.8,0.8500000000000001,0.8250000000000001,6850,0.0003953605062199851,0.00042689777934649026,0.0005832661891369095,0.000621770700618769,0.0010550827715216174,0.0011626033158442075
17,0.8500000000000001,0.9,0.875,6636,0.00042572948562625,0.0004456289977414,0.000603605809143725,0.000678411339965,0.0010605126482519883,0.00119884797102954
18,0.9,0.9500000000000001,0.925,6441,0.0004084064933302,0.0004279074664417,0.0006025602109336,0.0006712875154196,0.0010668984110573673,0.0013321789058332414
19,0.9500000000000001,1.0,0.9750000000000001,30666,0.00043901042827055,0.00058597993339415,0.0006033309298591125,0.00081746854926595,0.00101969591251805,0.0014006533638850041
