metric,threshold,n,k,pivot_changed_rate,pivot_changed_ci_lo,pivot_changed_ci_hi,x_median,gamma,shock_type,lock_in,pivot_is_dominant_rate,HHI_roll_median,HHI_median,max_share_median
max_share,0.45,31430,6630,0.21094495704740693,0.20646994721595627,0.21549061900385943,0.3919954606925665,-0.5,inflate_only,0,0.44568883232580336,0.3255271401038393,0.2707652672282558,0.3919954606925665
max_share,0.45,68570,4965,0.07240775849496865,0.0704918051729556,0.07437162041643126,0.6092754020400386,-0.5,inflate_only,1,0.9342277964124253,0.3795303262882724,0.42920550382726336,0.6092754020400386
max_share,0.45,31430,7410,0.2357620108176901,0.23110164652418536,0.2404869613410397,0.3919954606925665,-0.5,reallocate_total_fixed,0,0.44568883232580336,0.3255271401038393,0.2707652672282558,0.3919954606925665
max_share,0.45,68570,8546,0.12463176316173254,0.12218048534349155,0.12712509825968815,0.6092754020400386,-0.5,reallocate_total_fixed,1,0.9342277964124253,0.3795303262882724,0.42920550382726336,0.6092754020400386
max_share,0.45,31430,5885,0.1872414890232262,0.18296694286729415,0.19159248101171394,0.3919954606925665,0.5,inflate_only,0,0.44568883232580336,0.3255271401038393,0.2707652672282558,0.3919954606925665
max_share,0.45,68570,3417,0.04983228817267026,0.04822864462865468,0.05148636973332326,0.6092754020400386,0.5,inflate_only,1,0.9342277964124253,0.3795303262882724,0.42920550382726336,0.6092754020400386
max_share,0.45,31430,7342,0.23359847279669105,0.22895334458337668,0.23830871606147935,0.3919954606925665,0.5,reallocate_total_fixed,0,0.44568883232580336,0.3255271401038393,0.2707652672282558,0.3919954606925665
max_share,0.45,68570,4293,0.06260755432404842,0.060818670313296005,0.06444544497582032,0.6092754020400386,0.5,reallocate_total_fixed,1,0.9342277964124253,0.3795303262882724,0.42920550382726336,0.6092754020400386
max_share,0.45,31430,8832,0.2810054088450525,0.27606300338252776,0.28600134194394355,0.3919954606925665,1.0,inflate_only,0,0.44568883232580336,0.3255271401038393,0.2707652672282558,0.3919954606925665
max_share,0.45,68570,5766,0.08408925185941374,0.08203524336236288,0.08618986012957859,0.6092754020400386,1.0,inflate_only,1,0.9342277964124253,0.3795303262882724,0.42920550382726336,0.6092754020400386
max_share,0.45,31430,10370,0.32993954820235444,0.3247623470120912,0.33515831632802057,0.3919954606925665,1.0,reallocate_total_fixed,0,0.44568883232580336,0.3255271401038393,0.2707652672282558,0.3919954606925665
max_share,0.45,68570,7485,0.1091585241359195,0.10684628992163094,0.11151454929377043,0.6092754020400386,1.0,reallocate_total_fixed,1,0.9342277964124253,0.3795303262882724,0.42920550382726336,0.6092754020400386
max_share,0.45,31430,12229,0.389086859688196,0.3837106260504984,0.3944902032111723,0.3919954606925665,2.0,inflate_only,0,0.44568883232580336,0.3255271401038393,0.2707652672282558,0.3919954606925665
max_share,0.45,68570,9619,0.14028000583345487,0.1377007987182322,0.14289951695665926,0.6092754020400386,2.0,inflate_only,1,0.9342277964124253,0.3795303262882724,0.42920550382726336,0.6092754020400386
max_share,0.45,31430,13956,0.4440343620744512,0.43854845036656165,0.4495339531535987,0.3919954606925665,2.0,reallocate_total_fixed,0,0.44568883232580336,0.3255271401038393,0.2707652672282558,0.3919954606925665
max_share,0.45,68570,12716,0.18544553011521073,0.18255408939826112,0.18837221437177593,0.6092754020400386,2.0,reallocate_total_fixed,1,0.9342277964124253,0.3795303262882724,0.42920550382726336,0.6092754020400386
max_share,0.46875,36506,7647,0.20947241549334356,0.20532867527801332,0.21367729488209822,0.4022664210717325,-0.5,inflate_only,0,0.4681422231961869,0.3272769142655287,0.2768913735187293,0.4022664210717325
max_share,0.46875,63494,3948,0.06217910353734211,0.060327131567326005,0.06408405156807051,0.6282850557189863,-0.5,inflate_only,1,0.9603742085866381,0.38585277591937944,0.44626377591061445,0.6282850557189863
max_share,0.46875,36506,8523,0.23346847093628445,0.22915701958386855,0.2378360116869108,0.4022664210717325,-0.5,reallocate_total_fixed,0,0.4681422231961869,0.3272769142655287,0.2768913735187293,0.4022664210717325
max_share,0.46875,63494,7433,0.11706617948152581,0.1145885695191123,0.11959012420202987,0.6282850557189863,-0.5,reallocate_total_fixed,1,0.9603742085866381,0.38585277591937944,0.44626377591061445,0.6282850557189863
max_share,0.46875,36506,6757,0.1850928614474333,0.1811420358626412,0.18910995668503397,0.4022664210717325,0.5,inflate_only,0,0.4681422231961869,0.3272769142655287,0.2768913735187293,0.4022664210717325
max_share,0.46875,63494,2545,0.04008252748291177,0.03858439182385314,0.04163631287487162,0.6282850557189863,0.5,inflate_only,1,0.9603742085866381,0.38585277591937944,0.44626377591061445,0.6282850557189863
max_share,0.46875,36506,8353,0.22881170218594205,0.22453120257687753,0.23314927117242518,0.4022664210717325,0.5,reallocate_total_fixed,0,0.4681422231961869,0.3272769142655287,0.2768913735187293,0.4022664210717325
max_share,0.46875,63494,3282,0.05168992345733455,0.04999474697651992,0.053439345183236266,0.6282850557189863,0.5,reallocate_total_fixed,1,0.9603742085866381,0.38585277591937944,0.44626377591061445,0.6282850557189863
max_share,0.46875,36506,10111,0.27696816961595355,0.2724012384999179,0.2815820359714784,0.4022664210717325,1.0,inflate_only,0,0.4681422231961869,0.3272769142655287,0.2768913735187293,0.4022664210717325
max_share,0.46875,63494,4487,0.07066809462311399,0.06870059508211578,0.07268754306209478,0.6282850557189863,1.0,inflate_only,1,0.9603742085866381,0.38585277591937944,0.44626377591061445,0.6282850557189863
max_share,0.46875,36506,11828,0.3240015339944119,0.31921939528431825,0.3288207101539919,0.4022664210717325,1.0,reallocate_total_fixed,0,0.4681422231961869,0.3272769142655287,0.2768913735187293,0.4022664210717325
max_share,0.46875,63494,6027,0.09492235486817652,0.0926668934198091,0.09722683046387012,0.6282850557189863,1.0,reallocate_total_fixed,1,0.9603742085866381,0.38585277591937944,0.44626377591061445,0.6282850557189863
max_share,0.46875,36506,13997,0.38341642469731,0.37844118214963685,0.3884162013126896,0.4022664210717325,2.0,inflate_only,0,0.4681422231961869,0.3272769142655287,0.2768913735187293,0.4022664210717325
max_share,0.46875,63494,7851,0.12364947869089993,0.12111172390127997,0.12623277166343227,0.6282850557189863,2.0,inflate_only,1,0.9603742085866381,0.38585277591937944,0.44626377591061445,0.6282850557189863
max_share,0.46875,36506,15998,0.4382293321645757,0.4331462545791951,0.44332540888592387,0.4022664210717325,2.0,reallocate_total_fixed,0,0.4681422231961869,0.3272769142655287,0.2768913735187293,0.4022664210717325
max_share,0.46875,63494,10674,0.16811037263363468,0.16522163051882505,0.17103927319038076,0.6282850557189863,2.0,reallocate_total_fixed,1,0.9603742085866381,0.38585277591937944,0.44626377591061445,0.6282850557189863
max_share,0.4875,41398,8666,0.20933378424078458,0.20544177703175245,0.21327973220661925,0.41152203764568507,-0.5,inflate_only,0,0.4920527561717957,0.3287106735737904,0.2827969023377781,0.41152203764568507
max_share,0.4875,58602,2929,0.04998122930957988,0.04824625144511627,0.05177520443651039,0.6486124553618318,-0.5,inflate_only,1,0.9845739053274633,0.3948326057553368,0.4666651463370699,0.6486124553618318
max_share,0.4875,41398,9632,0.23266824484274604,0.22862286224818842,0.23676323787157053,0.41152203764568507,-0.5,reallocate_total_fixed,0,0.4920527561717957,0.3287106735737904,0.2827969023377781,0.41152203764568507
max_share,0.4875,58602,6324,0.10791440565168424,0.10542792349178809,0.11045229006016608,0.6486124553618318,-0.5,reallocate_total_fixed,1,0.9845739053274633,0.3948326057553368,0.4666651463370699,0.6486124553618318
max_share,0.4875,41398,7551,0.1824001159476303,0.17870958634835804,0.1861495845538368,0.41152203764568507,0.5,inflate_only,0,0.4920527561717957,0.3287106735737904,0.2827969023377781,0.41152203764568507
max_share,0.4875,58602,1751,0.029879526296030853,0.028531566293041294,0.03128911888589144,0.6486124553618318,0.5,inflate_only,1,0.9845739053274633,0.3948326057553368,0.4666651463370699,0.6486124553618318
max_share,0.4875,41398,9280,0.22416541861925696,0.22017380838656456,0.2282082172091278,0.41152203764568507,0.5,reallocate_total_fixed,0,0.4920527561717957,0.3287106735737904,0.2827969023377781,0.41152203764568507
max_share,0.4875,58602,2355,0.04018634176307976,0.03862611921498593,0.04180684567908019,0.6486124553618318,0.5,reallocate_total_fixed,1,0.9845739053274633,0.3948326057553368,0.4666651463370699,0.6486124553618318
max_share,0.4875,41398,11270,0.2722353736895502,0.26796885814153926,0.27654415695100676,0.41152203764568507,1.0,inflate_only,0,0.4920527561717957,0.3287106735737904,0.2827969023377781,0.41152203764568507
max_share,0.4875,58602,3328,0.05678987065287874,0.05494488892334636,0.058692957034999195,0.6486124553618318,1.0,inflate_only,1,0.9845739053274633,0.3948326057553368,0.4666651463370699,0.6486124553618318
max_share,0.4875,41398,13176,0.31827624522923814,0.313806111529992,0.3227801025479829,0.41152203764568507,1.0,reallocate_total_fixed,0,0.4920527561717957,0.3287106735737904,0.2827969023377781,0.41152203764568507
max_share,0.4875,58602,4679,0.07984369134159244,0.07767655391865727,0.08206591107138564,0.6486124553618318,1.0,reallocate_total_fixed,1,0.9845739053274633,0.3948326057553368,0.4666651463370699,0.6486124553618318
max_share,0.4875,41398,15595,0.3767090197594087,0.37205283449319226,0.3813880849078424,0.41152203764568507,2.0,inflate_only,0,0.4920527561717957,0.3287106735737904,0.2827969023377781,0.41152203764568507
max_share,0.4875,58602,6253,0.10670284290638544,0.10422888432735875,0.10922836256933968,0.6486124553618318,2.0,inflate_only,1,0.9845739053274633,0.3948326057553368,0.4666651463370699,0.6486124553618318
max_share,0.4875,41398,17883,0.43197739021208753,0.4272121468263523,0.4367552569811151,0.41152203764568507,2.0,reallocate_total_fixed,0,0.4920527561717957,0.3287106735737904,0.2827969023377781,0.41152203764568507
max_share,0.4875,58602,8789,0.14997781645677621,0.1471098944774059,0.15289162619011737,0.6486124553618318,2.0,reallocate_total_fixed,1,0.9845739053274633,0.3948326057553368,0.4666651463370699,0.6486124553618318
max_share,0.50625,45982,9673,0.21036492540559348,0.20666389157357673,0.21411435074525037,0.4199558251195076,-0.5,inflate_only,0,0.5230307511634987,0.3299920896161469,0.2880528694675037,0.4199558251195076
max_share,0.50625,54018,1922,0.03558073234847643,0.03405129852067473,0.03717621772157051,0.6692520795366772,-0.5,inflate_only,1,1.0,0.40743695949686703,0.4887003010234327,0.6692520795366772
max_share,0.50625,45982,10730,0.2333521812883302,0.2295085168356963,0.23724039659508453,0.4199558251195076,-0.5,reallocate_total_fixed,0,0.5230307511634987,0.3299920896161469,0.2880528694675037,0.4199558251195076
max_share,0.50625,54018,5226,0.09674552926802177,0.09428121498593253,0.0992671959960433,0.6692520795366772,-0.5,reallocate_total_fixed,1,1.0,0.40743695949686703,0.4887003010234327,0.6692520795366772
max_share,0.50625,45982,8359,0.18178852594493497,0.1782900014193696,0.1853402164518632,0.4199558251195076,0.5,inflate_only,0,0.5230307511634987,0.3299920896161469,0.2880528694675037,0.4199558251195076
