lambda,variable,state,quantile,value
0.001,delta_VWAP,lockin,0.01,10.413215425539638
0.001,delta_VWAP,lockin,0.05,12.102811982506319
0.001,delta_VWAP,lockin,0.25,15.578538817590015
0.001,delta_VWAP,lockin,0.5,19.11155877649435
0.001,delta_VWAP,lockin,0.75,26.163678171305946
0.001,delta_VWAP,lockin,0.95,36.286973387803314
0.001,delta_VWAP,lockin,0.99,43.307481420455275
0.001,delta_VWAP,non_lockin,0.01,8.043636020507547
0.001,delta_VWAP,non_lockin,0.05,10.232975066052314
0.001,delta_VWAP,non_lockin,0.25,14.485531101352535
0.001,delta_VWAP,non_lockin,0.5,17.575874005866353
0.001,delta_VWAP,non_lockin,0.75,21.28000621411047
0.001,delta_VWAP,non_lockin,0.95,26.971404292437363
0.001,delta_VWAP,non_lockin,0.99,29.685340380578417
0.001,delta_LWMP,lockin,0.01,16.372857849999928
0.001,delta_LWMP,lockin,0.05,16.70339249999961
0.001,delta_LWMP,lockin,0.25,19.911733749999257
0.001,delta_LWMP,lockin,0.5,30.42094249999718
0.001,delta_LWMP,lockin,0.75,44.1212912499941
0.001,delta_LWMP,lockin,0.95,58.83286824999305
0.001,delta_LWMP,lockin,0.99,63.391303599992234
0.001,delta_LWMP,non_lockin,0.01,0.0
0.001,delta_LWMP,non_lockin,0.05,0.0
0.001,delta_LWMP,non_lockin,0.25,1.8400000000037835
0.001,delta_LWMP,non_lockin,0.5,15.400000000001455
0.001,delta_LWMP,non_lockin,0.75,32.53500000000349
0.001,delta_LWMP,non_lockin,0.95,53.793996499996865
0.001,delta_LWMP,non_lockin,0.99,60.704941999997246
0.001,kappa_VWAP,lockin,0.01,0.5022644112173911
0.001,kappa_VWAP,lockin,0.05,0.5115677865420246
0.001,kappa_VWAP,lockin,0.25,0.5649670488242895
0.001,kappa_VWAP,lockin,0.5,0.6637270212896035
0.001,kappa_VWAP,lockin,0.75,0.8000209003891704
0.001,kappa_VWAP,lockin,0.95,0.905691616833548
0.001,kappa_VWAP,lockin,0.99,0.9463645985248308
0.001,kappa_VWAP,non_lockin,0.01,0.27276985817382976
0.001,kappa_VWAP,non_lockin,0.05,0.3100052002125818
0.001,kappa_VWAP,non_lockin,0.25,0.37173712435619843
0.001,kappa_VWAP,non_lockin,0.5,0.4168213751882261
0.001,kappa_VWAP,non_lockin,0.75,0.4572289096626909
0.001,kappa_VWAP,non_lockin,0.95,0.49101573992805675
0.001,kappa_VWAP,non_lockin,0.99,0.498158623510536
0.001,kappa_LWMP,lockin,0.01,0.9999999999997942
0.001,kappa_LWMP,lockin,0.05,0.9999999999998105
0.001,kappa_LWMP,lockin,0.25,0.9999999999998487
0.001,kappa_LWMP,lockin,0.5,0.9999999999998898
0.001,kappa_LWMP,lockin,0.75,0.9999999999999308
0.001,kappa_LWMP,lockin,0.95,0.9999999999999691
0.001,kappa_LWMP,lockin,0.99,0.9999999999999855
0.001,kappa_LWMP,non_lockin,0.01,0.0
0.001,kappa_LWMP,non_lockin,0.05,0.0
0.001,kappa_LWMP,non_lockin,0.25,0.049802288642133576
0.001,kappa_LWMP,non_lockin,0.5,0.35767999153284563
0.001,kappa_LWMP,non_lockin,0.75,0.7681415674211237
0.001,kappa_LWMP,non_lockin,0.95,0.9999999999998991
0.001,kappa_LWMP,non_lockin,0.99,0.9999999999999526
-0.001,delta_VWAP,lockin,0.01,-43.30748142045224
-0.001,delta_VWAP,lockin,0.05,-36.28697338779748
-0.001,delta_VWAP,lockin,0.25,-26.16367817129867
-0.001,delta_VWAP,lockin,0.5,-19.11155877649435
-0.001,delta_VWAP,lockin,0.75,-15.578538817593653
-0.001,delta_VWAP,lockin,0.95,-12.102811982506683
-0.001,delta_VWAP,lockin,0.99,-10.41321542554117
-0.001,delta_VWAP,non_lockin,0.01,-29.6853403805953
-0.001,delta_VWAP,non_lockin,0.05,-26.971404292437363
-0.001,delta_VWAP,non_lockin,0.25,-21.28000621411047
