lambda,variable,state,stat,value
0.001,delta_VWAP,lockin,n,583343.0
0.001,delta_VWAP,lockin,mean,21.394916080820206
0.001,delta_VWAP,lockin,std,7.702280070575556
0.001,delta_VWAP,lockin,min,7.89470204319332
0.001,delta_VWAP,lockin,p01,10.413215425539638
0.001,delta_VWAP,lockin,p05,12.102811982506319
0.001,delta_VWAP,lockin,p25,15.578538817590015
0.001,delta_VWAP,lockin,p50,19.11155877649435
0.001,delta_VWAP,lockin,p75,26.163678171305946
0.001,delta_VWAP,lockin,p95,36.286973387803314
0.001,delta_VWAP,lockin,p99,43.307481420455275
0.001,delta_VWAP,lockin,max,60.70320292499673
0.001,delta_VWAP,lockin,share_zero,0.0
0.001,delta_VWAP,non_lockin,n,467857.0
0.001,delta_VWAP,non_lockin,mean,18.006211701154438
0.001,delta_VWAP,non_lockin,std,4.932514163504906
0.001,delta_VWAP,non_lockin,min,4.877267744144774
0.001,delta_VWAP,non_lockin,p01,8.043636020507547
0.001,delta_VWAP,non_lockin,p05,10.232975066052314
0.001,delta_VWAP,non_lockin,p25,14.485531101352535
0.001,delta_VWAP,non_lockin,p50,17.575874005866353
0.001,delta_VWAP,non_lockin,p75,21.28000621411047
0.001,delta_VWAP,non_lockin,p95,26.971404292437363
0.001,delta_VWAP,non_lockin,p99,29.685340380578417
0.001,delta_VWAP,non_lockin,max,33.95678695189417
0.001,delta_VWAP,non_lockin,share_zero,0.0
0.001,delta_LWMP,lockin,n,583343.0
0.001,delta_LWMP,lockin,mean,32.92921989548978
0.001,delta_LWMP,lockin,std,14.328596870087116
0.001,delta_LWMP,lockin,min,15.518812499998603
0.001,delta_LWMP,lockin,p01,16.372857849999928
0.001,delta_LWMP,lockin,p05,16.70339249999961
0.001,delta_LWMP,lockin,p25,19.911733749999257
0.001,delta_LWMP,lockin,p50,30.42094249999718
0.001,delta_LWMP,lockin,p75,44.1212912499941
0.001,delta_LWMP,lockin,p95,58.83286824999305
0.001,delta_LWMP,lockin,p99,63.391303599992234
0.001,delta_LWMP,lockin,max,68.6843724999926
0.001,delta_LWMP,lockin,share_zero,0.0
0.001,delta_LWMP,non_lockin,n,467857.0
0.001,delta_LWMP,non_lockin,mean,19.199722577095827
0.001,delta_LWMP,non_lockin,std,17.868250448949226
0.001,delta_LWMP,non_lockin,min,0.0
0.001,delta_LWMP,non_lockin,p01,0.0
0.001,delta_LWMP,non_lockin,p05,0.0
0.001,delta_LWMP,non_lockin,p25,1.8400000000037835
0.001,delta_LWMP,non_lockin,p50,15.400000000001455
0.001,delta_LWMP,non_lockin,p75,32.53500000000349
0.001,delta_LWMP,non_lockin,p95,53.793996499996865
0.001,delta_LWMP,non_lockin,p99,60.704941999997246
0.001,delta_LWMP,non_lockin,max,68.6349099999934
0.001,delta_LWMP,non_lockin,share_zero,0.2016449470671594
0.001,kappa_VWAP,lockin,n,583343.0
0.001,kappa_VWAP,lockin,mean,0.6849466088482563
0.001,kappa_VWAP,lockin,std,0.13138673062004216
0.001,kappa_VWAP,lockin,min,0.500000315290612
0.001,kappa_VWAP,lockin,p01,0.5022644112173911
0.001,kappa_VWAP,lockin,p05,0.5115677865420246
0.001,kappa_VWAP,lockin,p25,0.5649670488242895
0.001,kappa_VWAP,lockin,p50,0.6637270212896035
0.001,kappa_VWAP,lockin,p75,0.8000209003891704
0.001,kappa_VWAP,lockin,p95,0.905691616833548
0.001,kappa_VWAP,lockin,p99,0.9463645985248308
0.001,kappa_VWAP,lockin,max,0.9945077405351226
0.001,kappa_VWAP,lockin,share_zero,0.0
0.001,kappa_VWAP,non_lockin,n,467857.0
0.001,kappa_VWAP,non_lockin,mean,0.41109282564526634
0.001,kappa_VWAP,non_lockin,std,0.05630735668633274
0.001,kappa_VWAP,non_lockin,min,0.18588630652722765
0.001,kappa_VWAP,non_lockin,p01,0.27276985817382976
0.001,kappa_VWAP,non_lockin,p05,0.3100052002125818
0.001,kappa_VWAP,non_lockin,p25,0.37173712435619843
0.001,kappa_VWAP,non_lockin,p50,0.4168213751882261
0.001,kappa_VWAP,non_lockin,p75,0.4572289096626909
0.001,kappa_VWAP,non_lockin,p95,0.49101573992805675
0.001,kappa_VWAP,non_lockin,p99,0.498158623510536
0.001,kappa_VWAP,non_lockin,max,0.4999999851624325
0.001,kappa_VWAP,non_lockin,share_zero,0.0
0.001,kappa_LWMP,lockin,n,583343.0
0.001,kappa_LWMP,lockin,mean,0.9999999999998891
0.001,kappa_LWMP,lockin,std,4.996570274485784e-14
0.001,kappa_LWMP,lockin,min,0.9999999999997788
0.001,kappa_LWMP,lockin,p01,0.9999999999997942
0.001,kappa_LWMP,lockin,p05,0.9999999999998105
0.001,kappa_LWMP,lockin,p25,0.9999999999998487
0.001,kappa_LWMP,lockin,p50,0.9999999999998898
0.001,kappa_LWMP,lockin,p75,0.9999999999999308
0.001,kappa_LWMP,lockin,p95,0.9999999999999691
0.001,kappa_LWMP,lockin,p99,0.9999999999999855
0.001,kappa_LWMP,lockin,max,1.0000000000000009
0.001,kappa_LWMP,lockin,share_zero,0.0
0.001,kappa_LWMP,non_lockin,n,467857.0
0.001,kappa_LWMP,non_lockin,mean,0.42210840202736405
0.001,kappa_LWMP,non_lockin,std,0.3666452764412971
0.001,kappa_LWMP,non_lockin,min,0.0
0.001,kappa_LWMP,non_lockin,p01,0.0
0.001,kappa_LWMP,non_lockin,p05,0.0
0.001,kappa_LWMP,non_lockin,p25,0.049802288642133576
0.001,kappa_LWMP,non_lockin,p50,0.35767999153284563
0.001,kappa_LWMP,non_lockin,p75,0.7681415674211237
0.001,kappa_LWMP,non_lockin,p95,0.9999999999998991
0.001,kappa_LWMP,non_lockin,p99,0.9999999999999526
0.001,kappa_LWMP,non_lockin,max,1.0000000000000002
0.001,kappa_LWMP,non_lockin,share_zero,0.2016470844723922
-0.001,delta_VWAP,lockin,n,583343.0
-0.001,delta_VWAP,lockin,mean,-21.394916080822583
-0.001,delta_VWAP,lockin,std,7.702280070576412
-0.001,delta_VWAP,lockin,min,-60.703202925025835
-0.001,delta_VWAP,lockin,p01,-43.30748142045224
-0.001,delta_VWAP,lockin,p05,-36.28697338779748
-0.001,delta_VWAP,lockin,p25,-26.16367817129867
-0.001,delta_VWAP,lockin,p50,-19.11155877649435
-0.001,delta_VWAP,lockin,p75,-15.578538817593653
-0.001,delta_VWAP,lockin,p95,-12.102811982506683
-0.001,delta_VWAP,lockin,p99,-10.41321542554117
-0.001,delta_VWAP,lockin,max,-7.894702043198777
-0.001,delta_VWAP,lockin,share_zero,0.0
-0.001,delta_VWAP,non_lockin,n,467857.0
-0.001,delta_VWAP,non_lockin,mean,-18.006211701156438
-0.001,delta_VWAP,non_lockin,std,4.932514163505448
-0.001,delta_VWAP,non_lockin,min,-33.95678695189417
-0.001,delta_VWAP,non_lockin,p01,-29.6853403805953
-0.001,delta_VWAP,non_lockin,p05,-26.971404292437363
-0.001,delta_VWAP,non_lockin,p25,-21.28000621411047
-0.001,delta_VWAP,non_lockin,p50,-17.575874005880905
-0.001,delta_VWAP,non_lockin,p75,-14.485531101359811
-0.001,delta_VWAP,non_lockin,p95,-10.232975066047224
-0.001,delta_VWAP,non_lockin,p99,-8.043636020511185
-0.001,delta_VWAP,non_lockin,max,-4.877267744144774
-0.001,delta_VWAP,non_lockin,share_zero,0.0
-0.001,delta_LWMP,lockin,n,583343.0
