,delta_abs,g_low,g_high,N_low,N_high,dLWMP_exceed_Qhi_Qlo,dVWAP_p95PT_Qhi_Qlo,spearman_g_vs_exceed,spearman_g_vs_pt,measure_raw,measure_pretty,scheme
0,0.05,1,2,99992,99990,6.508743881828779,0.2682681978963736,0.12061615233056815,-0.16702675799716826,hhi_base,HHI (roll if available),median
1,0.1,1,2,99992,99990,6.263722599958213,0.26853680812027914,0.11581810703200322,-0.16792115597505766,hhi_base,HHI (roll if available),median
2,0.05,1,3,66662,66660,9.037019495055022,0.34102857468528786,0.13673759566635135,-0.1965803284209541,hhi_base,HHI (roll if available),tercile
3,0.1,1,3,66662,66660,8.798501223618509,0.3400750744686049,0.13283330759068723,-0.19564047032713985,hhi_base,HHI (roll if available),tercile
4,0.05,1,4,49996,49994,10.60140898002248,0.37723025273384625,0.14179956323806336,-0.20723174828571586,hhi_base,HHI (roll if available),quartile
5,0.1,1,4,49996,49994,10.455396979023995,0.3747562073111926,0.13825152984259037,-0.20652870490852768,hhi_base,HHI (roll if available),quartile
6,0.05,1,5,39998,39996,10.946251132938686,0.3979764283915094,0.13985843415138557,-0.21043900140727162,hhi_base,HHI (roll if available),quintile
7,0.1,1,5,39998,39996,11.016259883901284,0.3982090421744426,0.13771765396353902,-0.2085396288454859,hhi_base,HHI (roll if available),quintile
8,0.05,1,10,20000,19998,11.50139113911391,0.4427676613068203,0.14216896404772095,-0.21474806156159856,hhi_base,HHI (roll if available),decile
9,0.1,1,10,20000,19998,11.771417641764177,0.4461968850761067,0.13971945563809107,-0.21289406815961098,hhi_base,HHI (roll if available),decile
10,0.05,1,3,66662,66662,9.0366325642795,0.3410135547860857,0.16308143724551113,-0.24120287601200963,hhi_base,HHI (roll if available),extreme_tercile
11,0.1,1,3,66662,66662,8.798115868110768,0.3400675149677324,0.15820584662230752,-0.23881356900270936,hhi_base,HHI (roll if available),extreme_tercile
12,0.05,1,10,20000,20000,11.5,0.44276766130681977,0.21004233024879743,-0.38706857303615183,hhi_base,HHI (roll if available),extreme_decile
13,0.1,1,10,20000,20000,11.77,0.4461962853430927,0.21343264927605052,-0.37734706416040636,hhi_base,HHI (roll if available),extreme_decile
14,0.05,1,2,99992,99990,12.701301212607861,0.3111205920875889,0.23537292443375335,-0.19033139452347345,max_share,max_share,median
15,0.1,1,2,99992,99990,12.752306573164716,0.3144232102115547,0.23579396820759,-0.18388056874477732,max_share,max_share,median
16,0.05,1,3,66662,66660,14.281428142814281,0.40128909926536604,0.21609087541062108,-0.2169450370298741,max_share,max_share,tercile
17,0.1,1,3,66662,66660,14.282928292829283,0.406444841052764,0.21563425653162335,-0.2118698609755141,max_share,max_share,tercile
18,0.05,1,4,49996,49994,14.237708525023002,0.449489297512177,0.2232571752338689,-0.22727689328973893,max_share,max_share,quartile
19,0.1,1,4,49996,49994,14.393727247269672,0.451819431693337,0.2244738648410138,-0.221355211508521,max_share,max_share,quartile
20,0.05,1,5,39998,39996,14.331433143314332,0.47851875760735774,0.22454160133715917,-0.23163658077325283,max_share,max_share,quintile
21,0.1,1,5,39998,39996,14.508950895089509,0.48092765586969743,0.22522039952557948,-0.22469529827919513,max_share,max_share,quintile
22,0.05,1,10,20000,19998,14.261426142614262,0.5469249211853104,0.2252040563542596,-0.2369620763962304,max_share,max_share,decile
23,0.1,1,10,20000,19998,14.696469646964697,0.5475134064794226,0.22626579289940485,-0.23068787445837174,max_share,max_share,decile
24,0.05,1,3,66662,66662,14.280999669976898,0.40128477370677684,0.2773008085549929,-0.2659967513293478,max_share,max_share,extreme_tercile
25,0.1,1,3,66662,66662,14.28249977498425,0.40644443166907784,0.2773164922748663,-0.26042856080779314,max_share,max_share,extreme_tercile
26,0.05,1,10,20000,20000,14.26,0.5469098045614879,0.27708118871644644,-0.41164536827196024,max_share,max_share,extreme_decile
27,0.1,1,10,20000,20000,14.695,0.5475019310489824,0.2816055606791207,-0.40416285318596895,max_share,max_share,extreme_decile
28,0.05,1,2,99992,99990,6.508743881828779,0.2682681978963736,0.12061615233056815,-0.16702675799716826,neff,N_eff = 1/HHI (negated for concentration),median
29,0.1,1,2,99992,99990,6.263722599958213,0.26853680812027914,0.11581810703200322,-0.16792115597505766,neff,N_eff = 1/HHI (negated for concentration),median
30,0.05,1,3,66662,66660,9.037019495055022,0.34102857468528786,0.13673759566635135,-0.1965803284209541,neff,N_eff = 1/HHI (negated for concentration),tercile
31,0.1,1,3,66662,66660,8.798501223618509,0.3400750744686049,0.13283330759068723,-0.19564047032713985,neff,N_eff = 1/HHI (negated for concentration),tercile
32,0.05,1,4,49996,49994,10.60140898002248,0.37723025273384625,0.14179956323806336,-0.20723174828571586,neff,N_eff = 1/HHI (negated for concentration),quartile
33,0.1,1,4,49996,49994,10.455396979023995,0.3747562073111926,0.13825152984259037,-0.20652870490852768,neff,N_eff = 1/HHI (negated for concentration),quartile
34,0.05,1,5,39998,39996,10.946251132938686,0.3979764283915094,0.13985843415138557,-0.21043900140727162,neff,N_eff = 1/HHI (negated for concentration),quintile
35,0.1,1,5,39998,39996,11.016259883901284,0.3982090421744426,0.13771765396353902,-0.2085396288454859,neff,N_eff = 1/HHI (negated for concentration),quintile
36,0.05,1,10,20000,19998,11.50139113911391,0.4427676613068203,0.14216896404772095,-0.21474806156159856,neff,N_eff = 1/HHI (negated for concentration),decile
37,0.1,1,10,20000,19998,11.771417641764177,0.4461968850761067,0.13971945563809107,-0.21289406815961098,neff,N_eff = 1/HHI (negated for concentration),decile
38,0.05,1,3,66662,66662,9.0366325642795,0.3410135547860857,0.16308143724551113,-0.24120287601200963,neff,N_eff = 1/HHI (negated for concentration),extreme_tercile
39,0.1,1,3,66662,66662,8.798115868110768,0.3400675149677324,0.15820584662230752,-0.23881356900270936,neff,N_eff = 1/HHI (negated for concentration),extreme_tercile
40,0.05,1,10,20000,20000,11.5,0.44276766130681977,0.21004233024879743,-0.38706857303615183,neff,N_eff = 1/HHI (negated for concentration),extreme_decile
41,0.1,1,10,20000,20000,11.77,0.4461962853430927,0.21343264927605052,-0.37734706416040636,neff,N_eff = 1/HHI (negated for concentration),extreme_decile
42,0.05,1,2,99992,99990,11.707211744456307,0.31025047316648396,0.216951052426233,-0.165248509265935,top_hhi_share,TopHHIShare = max^2/HHI,median
43,0.1,1,2,99992,99990,11.904230246210474,0.3152172141833875,0.22011278289980676,-0.15861038738134017,top_hhi_share,TopHHIShare = max^2/HHI,median
44,0.05,1,3,66662,66660,13.703886859838965,0.3949335681046813,0.2073519992424397,-0.17838069115859526,top_hhi_share,TopHHIShare = max^2/HHI,tercile
45,0.1,1,3,66662,66660,13.897403871376307,0.3997886722347556,0.20981368803746434,-0.17130636367380653,top_hhi_share,TopHHIShare = max^2/HHI,tercile
46,0.05,1,4,49996,49994,13.927684683230872,0.4298689597465278,0.21244919682121988,-0.18095841536047705,top_hhi_share,TopHHIShare = max^2/HHI,quartile
47,0.1,1,4,49996,49994,14.0997030052439,0.4346802182493188,0.21502959596437257,-0.17395015028322447,top_hhi_share,TopHHIShare = max^2/HHI,quartile
48,0.05,1,5,39998,39996,14.008913642001733,0.44130586823595114,0.2124590080400432,-0.18256807749833745,top_hhi_share,TopHHIShare = max^2/HHI,quintile
49,0.1,1,5,39998,39996,14.153926268170595,0.4474417780068746,0.21564898632722404,-0.1756971649818355,top_hhi_share,TopHHIShare = max^2/HHI,quintile
50,0.05,1,10,20000,19998,14.336441644164415,0.42652569818762026,0.21424800777985267,-0.18317434046610825,top_hhi_share,TopHHIShare = max^2/HHI,decile
51,0.1,1,10,20000,19998,14.231431643164314,0.4307722780319338,0.21690491937428613,-0.17654570464514874,top_hhi_share,TopHHIShare = max^2/HHI,decile
52,0.05,1,3,66662,66662,13.70345924214695,0.39492848503126265,0.2617327859158246,-0.2193237099208499,top_hhi_share,TopHHIShare = max^2/HHI,extreme_tercile
53,0.1,1,3,66662,66662,13.898472893102518,0.39982026872895676,0.2651363634807407,-0.21111360136626306,top_hhi_share,TopHHIShare = max^2/HHI,extreme_tercile
54,0.05,1,10,20000,20000,14.34,0.426504992930029,0.27649876334385526,-0.2527352595789734,top_hhi_share,TopHHIShare = max^2/HHI,extreme_decile
55,0.1,1,10,20000,20000,14.229999999999999,0.4307627077674761,0.2752546523186925,-0.2466423293134684,top_hhi_share,TopHHIShare = max^2/HHI,extreme_decile
56,0.05,1,2,99992,99990,-10.47278445742006,-0.29826705910891016,-0.19407538357254633,0.1391545602729823,hhi_rest,HHI_rest = HHI-max^2,median
57,0.1,1,2,99992,99990,-10.61379637843775,-0.3036272192914032,-0.19625227416392807,0.13495366973743272,hhi_rest,HHI_rest = HHI-max^2,median
58,0.05,1,3,66662,66660,-12.411813606430398,-0.37875013644710565,-0.18780156742273266,0.15401664956106464,hhi_rest,HHI_rest = HHI-max^2,tercile
59,0.1,1,3,66662,66660,-12.59782977787743,-0.38520163916494604,-0.19019332916547332,0.14781987950741943,hhi_rest,HHI_rest = HHI-max^2,tercile
60,0.05,1,4,49996,49994,-12.448923345159368,-0.41356481317257954,-0.18996344442125312,0.15804975667913831,hhi_rest,HHI_rest = HHI-max^2,quartile
61,0.1,1,4,49996,49994,-12.700948707812454,-0.42043502372133096,-0.19279214226946773,0.1521853209661177,hhi_rest,HHI_rest = HHI-max^2,quartile
62,0.05,1,5,39998,39996,-12.368023391668633,-0.4304969077747147,-0.1898448953149699,0.1609195972072383,hhi_rest,HHI_rest = HHI-max^2,quintile
63,0.1,1,5,39998,39996,-12.65304564358131,-0.43499648007128316,-0.19389568419252612,0.1535689810153535,hhi_rest,HHI_rest = HHI-max^2,quintile
64,0.05,1,10,20000,19998,-11.739750475047506,-0.44956577414690346,-0.19065549234873125,0.1620692068699495,hhi_rest,HHI_rest = HHI-max^2,decile
65,0.1,1,10,20000,19998,-12.054764976497651,-0.45870157880934165,-0.19410506545021608,0.15540189787531183,hhi_rest,HHI_rest = HHI-max^2,decile
66,0.05,1,3,66662,66662,-12.411868830818158,-0.37875092749867884,-0.2281486923362486,0.18814280857598842,hhi_rest,HHI_rest = HHI-max^2,extreme_tercile
67,0.1,1,3,66662,66662,-12.597881851729621,-0.38520299890908,-0.23172564519063144,0.1810055642837516,hhi_rest,HHI_rest = HHI-max^2,extreme_tercile
68,0.05,1,10,20000,20000,-11.740000000000002,-0.4495731693378034,-0.21201883142803774,0.2345834136256468,hhi_rest,HHI_rest = HHI-max^2,extreme_decile
