delta_abs,measure_raw,measure_pretty,scheme,g_low,g_high,N_low,N_high,RD_exceed,RD_exceed_pct,RD_wald_lo,RD_wald_hi,RD_newcombe_lo,RD_newcombe_hi,RD_bayes_lo,RD_bayes_hi,RD_cluster_lo,RD_cluster_hi,p_ztest,p_ztest_sci,p_ztest_log10,p_perm_exceed,dP95,dP95_iid_lo,dP95_iid_hi,dP95_cluster_lo,dP95_cluster_hi,p_perm_p95
0.05,hhi_base,HHI (roll if available),quintile,1,5,39998,39996,0.10946251132938686,10.946251132938686,0.10565076557470934,0.11327425708406438,0.10433655189349567,0.11456744962403072,0.10563046417773223,0.11324027106023511,0.10652502082748785,0.11236997825043886,1e-300,<1e-300,-663.5903212854987,0.0024937655860349127,0.3979764283915094,0.39311277134288863,0.4027965135054342,0.392144603275105,0.4040653925322272,0.0024937655860349127
0.1,hhi_base,HHI (roll if available),quintile,1,5,39998,39996,0.11016259883901286,11.016259883901286,0.10633725343552758,0.11398794424249814,0.10501677541561841,0.11528726664445718,0.10637475533832962,0.1139474228291666,0.10744550146015236,0.11291562131959239,1e-300,<1e-300,-667.1830189252235,0.0024937655860349127,0.3982090421744426,0.39347924790049166,0.4036613538106515,0.39068559203941017,0.404491867176828,0.0024937655860349127
0.05,hhi_base,HHI (roll if available),extreme_decile,1,10,20000,20000,0.115,11.5,0.10975410878969075,0.12024589121030926,0.10805463792174026,0.1219011921624172,0.10976829303878954,0.12017607963002884,0.11125241041831468,0.1194548068607309,1e-300,<1e-300,-384.92381498138747,0.0024937655860349127,0.44276766130681977,0.43664689317704986,0.4496571317133631,0.4370078837660879,0.45004424592447256,0.0024937655860349127
0.1,hhi_base,HHI (roll if available),extreme_decile,1,10,20000,20000,0.11769999999999999,11.769999999999998,0.1124201999088223,0.12297980009117768,0.11071827140037091,0.12463652165097976,0.11247919280366134,0.12293129309158368,0.11398737724488235,0.12156734382386541,1e-300,<1e-300,-397.4012257533746,0.0024937655860349127,0.4461962853430927,0.43879393180186005,0.4525821419079338,0.43902012114075323,0.4526277024428961,0.0024937655860349127
0.05,max_share,max_share,quintile,1,5,39998,39996,0.14331433143314332,14.331433143314332,0.13988030721742636,0.14674835564886027,0.13981852190657967,0.14678261783571264,0.1399171740059552,0.14666420699160168,0.14100394729040164,0.14574829070035764,1e-300,<1e-300,-1342.8211786556913,0.0024937655860349127,0.47851875760735774,0.4750806714616893,0.48190508070191235,0.47369767483698316,0.4835739103485151,0.0024937655860349127
0.1,max_share,max_share,quintile,1,5,39998,39996,0.1450895089508951,14.508950895089509,0.14163786396799233,0.14854115393379785,0.14157591157465038,0.1485752422256976,0.14167879955171817,0.14851150158317608,0.14253112896687453,0.14768324993896711,1e-300,<1e-300,-1360.7314094524875,0.0024937655860349127,0.48092765586969743,0.4779457881492649,0.48379267858236136,0.4758070999566712,0.4851303571858346,0.0024937655860349127
0.05,max_share,max_share,extreme_decile,1,10,20000,20000,0.1426,14.26,0.13775389772093077,0.14744610227906924,0.1376304700938432,0.14751475921051202,0.1378123657771055,0.1473306016679049,0.1387380888334735,0.14671165126602348,1e-300,<1e-300,-668.6922002861875,0.0024937655860349127,0.5469098045614879,0.5446410433617668,0.5496529263245714,0.5440991335822236,0.5500294428887508,0.0024937655860349127
0.1,max_share,max_share,extreme_decile,1,10,20000,20000,0.14695,14.695,0.14204303328156792,0.15185696671843207,0.14191879375392144,0.15192476477535624,0.1421117237411265,0.15181674842882523,0.14275789857523147,0.1508436229133064,1e-300,<1e-300,-690.6546110984018,0.0024937655860349127,0.5475019310489824,0.545068620683759,0.5506417990064294,0.5438940489854468,0.5511373171105853,0.0024937655860349127
0.05,neff,N_eff = 1/HHI (negated for concentration),quintile,1,5,39998,39996,0.10946251132938686,10.946251132938686,0.10565076557470934,0.11327425708406438,0.10433655189349567,0.11456744962403072,0.10563046417773223,0.11324027106023511,0.10652502082748785,0.11236997825043886,1e-300,<1e-300,-663.5903212854987,0.0024937655860349127,0.3979764283915094,0.39311277134288863,0.4027965135054342,0.392144603275105,0.4040653925322272,0.0024937655860349127
0.1,neff,N_eff = 1/HHI (negated for concentration),quintile,1,5,39998,39996,0.11016259883901286,11.016259883901286,0.10633725343552758,0.11398794424249814,0.10501677541561841,0.11528726664445718,0.10637475533832962,0.1139474228291666,0.10744550146015236,0.11291562131959239,1e-300,<1e-300,-667.1830189252235,0.0024937655860349127,0.3982090421744426,0.39347924790049166,0.4036613538106515,0.39068559203941017,0.404491867176828,0.0024937655860349127
0.05,neff,N_eff = 1/HHI (negated for concentration),extreme_decile,1,10,20000,20000,0.115,11.5,0.10975410878969075,0.12024589121030926,0.10805463792174026,0.1219011921624172,0.10976829303878954,0.12017607963002884,0.11125241041831468,0.1194548068607309,1e-300,<1e-300,-384.92381498138747,0.0024937655860349127,0.44276766130681977,0.43664689317704986,0.4496571317133631,0.4370078837660879,0.45004424592447256,0.0024937655860349127
0.1,neff,N_eff = 1/HHI (negated for concentration),extreme_decile,1,10,20000,20000,0.11769999999999999,11.769999999999998,0.1124201999088223,0.12297980009117768,0.11071827140037091,0.12463652165097976,0.11247919280366134,0.12293129309158368,0.11398737724488235,0.12156734382386541,1e-300,<1e-300,-397.4012257533746,0.0024937655860349127,0.4461962853430927,0.43879393180186005,0.4525821419079338,0.43902012114075323,0.4526277024428961,0.0024937655860349127
