definition,spell_id,start_time,end_time,duration_min,median_max_share_within_spell,max_max_share_within_spell,median_pivot_margin_norm_within_spell,share_minutes_pivot_eq_dominant
B_maxshare_gt_0p5_and_pivot_eq_dominant,163842,2022-11-29 17:28:00+00:00,2022-12-01 19:09:00+00:00,2982,0.8121820365589849,0.9642959725064094,0.49213434418233504,1.0
B_maxshare_gt_0p5_and_pivot_eq_dominant,163542,2022-10-30 11:37:00+00:00,2022-11-01 13:03:00+00:00,2967,0.8666460193714239,0.9731828091225828,0.479575293840525,1.0
B_maxshare_gt_0p5_and_pivot_eq_dominant,163130,2022-09-23 13:54:00+00:00,2022-09-25 04:48:00+00:00,2335,0.8532184273155029,0.9836010464894364,0.4878506183048228,1.0
B_maxshare_gt_0p5_and_pivot_eq_dominant,163551,2022-11-03 08:10:00+00:00,2022-11-04 14:15:00+00:00,1806,0.8717985020637156,0.9790910075470896,0.4947922034757163,1.0
B_maxshare_gt_0p5_and_pivot_eq_dominant,163033,2022-09-10 21:51:00+00:00,2022-09-12 01:30:00+00:00,1660,0.8924256843446634,0.9928641055387064,0.4942983763158187,1.0
B_maxshare_gt_0p5_and_pivot_eq_dominant,163559,2022-11-07 10:35:00+00:00,2022-11-08 13:37:00+00:00,1623,0.8548635604423737,0.9547373511860768,0.47919603181421944,1.0
B_maxshare_gt_0p5_and_pivot_eq_dominant,164009,2022-12-24 14:19:00+00:00,2022-12-25 17:07:00+00:00,1609,0.9149240092950626,0.9919726173487896,0.4978318360252296,1.0
B_maxshare_gt_0p5_and_pivot_eq_dominant,163894,2022-12-09 01:00:00+00:00,2022-12-10 01:45:00+00:00,1486,0.8887441798057196,0.9860775361169188,0.49618893375914497,1.0
B_maxshare_gt_0p5_and_pivot_eq_dominant,163196,2022-09-28 21:30:00+00:00,2022-09-29 21:50:00+00:00,1461,0.8412782881456606,0.967155570445612,0.47923645963855077,1.0
B_maxshare_gt_0p5_and_pivot_eq_dominant,163553,2022-11-04 22:00:00+00:00,2022-11-05 21:50:00+00:00,1431,0.8791117240482752,0.9731449162606308,0.4956752494063872,1.0
