bin_id,max_share_mid,n,dom_rate,dom_ci_lo,dom_ci_hi,pivot_changed_rate,pc_ci_lo,pc_ci_hi,lockin_share
0,0.2540473858908784,26520,0.363499245852187,0.3577301751914955,0.36930785688602974,0.32209653092006035,0.3164986336432258,0.3277459617550517,0.0
1,0.3349922622467084,26424,0.38298516500151375,0.3771412539784513,0.38886309501083577,0.28776869512564335,0.2823411567077799,0.2932579342145753,0.0
2,0.35698568728968505,27336,0.3947907521217442,0.38901130510010556,0.4005997656531352,0.2841673983026046,0.27885136894541424,0.2895440821825835,0.0
3,0.3739263530102779,26344,0.4208928029152748,0.41494291874233313,0.426865755255464,0.28059520194351656,0.2752019652390532,0.28605241849763957,0.0
4,0.3885731666931801,25808,0.4473031618102914,0.44124515827387667,0.45337685118398396,0.2921187228766274,0.2866019585737032,0.2976973655008719,0.0
5,0.4019799217985504,26472,0.4439407676035056,0.4379640329948541,0.4499337704124604,0.28649138712601996,0.28107616661685664,0.2919685671150448,0.0
6,0.41464010146011554,26832,0.475551580202743,0.469579931017762,0.4815302290600945,0.28831246273106736,0.2829229864354511,0.29376254594598905,0.0
7,0.4268948082966501,26816,0.498508353221957,0.49252450550789906,0.5044926282547403,0.2838230906921241,0.27845809010621064,0.28925002044430054,0.0
8,0.4389505354336047,27672,0.5336802544087886,0.5277981385923282,0.5395530201164281,0.28559554784619834,0.2803034880004704,0.29094712936106265,0.0
9,0.45099743581667334,26728,0.577072732714756,0.5711393552118549,0.5829839581628584,0.2596902125112242,0.25446838180826825,0.2649811124607687,0.0
10,0.4632364981254432,26616,0.6185752930568079,0.6127229789729853,0.6243933831318891,0.2639765554553652,0.25871531368303335,0.2693059199219028,0.0
11,0.4757491526179187,26664,0.6627662766276627,0.6570685393189432,0.6684171197829168,0.2456120612061206,0.2404822204928881,0.2508151929430759,0.0
12,0.48867976359903276,26296,0.695771219957408,0.6901820625731923,0.701303185003356,0.2577578338910861,0.25250672114483497,0.26307971493468874,0.0
13,0.502111878974356,26560,0.9015060240963856,0.8978640517778649,0.9050318667100696,0.2596385542168675,0.2544006936977976,0.2649459357445344,0.6451807228915662
14,0.5162730630261323,26544,1.0,0.9998552952041118,1.0,0.19691832429174203,0.19217827566166587,0.2017460876658598,1.0
15,0.5313384251076424,27008,1.0,0.9998577808926584,0.9999999999999999,0.15950829383886256,0.15518991094662307,0.1639235255841168,1.0
16,0.547487215700809,26656,1.0,0.9998559031198444,1.0,0.13156512605042017,0.12756029635937577,0.13567613637321785,1.0
17,0.5649448461527179,26216,1.0,0.9998534850035099,1.0,0.10493591699725359,0.10128372175043561,0.10870387786954076,1.0
18,0.5841373434158933,27288,1.0,0.9998592399862088,0.9999999999999999,0.08402961008501905,0.08079612101075902,0.0873802031549213,1.0
19,0.6056679269986585,27552,1.0,0.999860588543955,0.9999999999999999,0.06674651567944251,0.06385941120856509,0.06975442114849129,1.0
20,0.6302874481891505,26528,1.0,0.9998552079400325,1.0,0.05492310012062726,0.05224531657211795,0.05772977087149171,1.0
21,0.6587532859081784,27032,1.0,0.999857907142051,1.0,0.03902781888132584,0.03678389707738821,0.04140274239456374,1.0
22,0.6909065322322183,26536,1.0,0.999855251585224,0.9999999999999999,0.02837654507084715,0.026445920940056777,0.030443702696581653,1.0
23,0.724987399050684,26608,1.0,0.9998556432111034,1.0,0.020670475045099217,0.019028812373344084,0.022450526658945966,1.0
24,0.7584493254756706,26888,1.0,0.9998571462655051,0.9999999999999999,0.015694733710205296,0.014276756980538246,0.017251080071722238,1.0
25,0.7897610084864572,26240,1.0,0.9998536189915124,1.0,0.012576219512195123,0.011297436270617923,0.013997701922869728,1.0
26,0.8195260708823129,26328,1.0,0.9998541081912022,1.0,0.011356730477058645,0.01014617724536875,0.012709861809643641,1.0
27,0.8490603013195634,26584,1.0,0.9998555129048159,1.0,0.010306951549804393,0.009161614460528647,0.011593797291285008,1.0
28,0.8813576537444573,26528,1.0,0.9998552079400325,1.0,0.010856453558504222,0.009678326595619272,0.012176228724807487,1.0
29,0.9466835023774856,26376,1.0,0.9998543736517357,1.0,0.009061267819229602,0.007987024204326076,0.010278498663711163,1.0
