active_venue_set,valid_venue_count,minutes,share_of_valid_minutes,over_half_minutes,over_half_share,median_max_share,p95_max_share,dominant_exchange_distribution
Binance|Bitfinex|BitMEX|Bitstamp|Coinbase|KuCoin|OKX,7,1008835,0.9606058615111116,549862,0.5450465140483826,0.5187303697822121,0.8709818530543195,"{""Binance"":0.7987659032448319,""BitMEX"":0.1326183171678223,""Bitfinex"":0.006363776038698103,""Bitstamp"":0.0013758444145970353,""Coinbase"":0.026341274836816725,""KuCoin"":0.006449022882830195,""OKX"":0.028085861414403744}"
Binance|Bitfinex|BitMEX|Coinbase|KuCoin|OKX,6,16445,0.015658817737836447,11628,0.7070842201276983,0.6420507984209726,0.9247143860406972,"{""Binance"":0.8248099726360596,""BitMEX"":0.10757069017938584,""Bitfinex"":0.0044390392216479176,""Coinbase"":0.02091821222256005,""KuCoin"":0.015567041653998175,""OKX"":0.026695044086348433}"
Binance|Bitfinex|Bitstamp|Coinbase|KuCoin|OKX,6,15798,0.015042748715253278,14852,0.9401190024053677,0.8645028729449171,0.9569530611350614,"{""Binance"":0.9698696037473098,""Bitfinex"":0.0016457779465755158,""Bitstamp"":0.00044309406253956196,""Coinbase"":0.014685403215596912,""KuCoin"":0.0037979491074819596,""OKX"":0.009558171920496265}"
Binance|BitMEX|Bitstamp|Coinbase|KuCoin|OKX,6,4625,0.004403893708573643,2874,0.6214054054054055,0.5531827826052937,0.918332501365315,"{""Binance"":0.7954594594594595,""BitMEX"":0.13102702702702704,""Bitstamp"":0.0012972972972972972,""Coinbase"":0.03027027027027027,""KuCoin"":0.00972972972972973,""OKX"":0.03221621621621622}"
Binance|Bitfinex|BitMEX|Bitstamp|Coinbase|KuCoin,6,1451,0.001381632382949266,1172,0.8077188146106133,0.7086268908403313,0.937646209474032,"{""Binance"":0.8966230186078566,""BitMEX"":0.08270158511371468,""Bitfinex"":0.0034458993797381117,""Bitstamp"":0.002067539627842867,""Coinbase"":0.012405237767057202,""KuCoin"":0.0027567195037904893}"
Binance|Bitfinex|BitMEX|Bitstamp|Coinbase|OKX,6,1116,0.0010626476494633916,693,0.6209677419354839,0.5500702601544686,0.8686744542678779,"{""Binance"":0.7974910394265233,""BitMEX"":0.1639784946236559,""Bitfinex"":0.004480286738351254,""Bitstamp"":0.0017921146953405018,""Coinbase"":0.01971326164874552,""OKX"":0.012544802867383513}"
Binance|Bitfinex|BitMEX|Bitstamp|KuCoin|OKX,6,141,0.00013425924603435323,92,0.6524822695035462,0.5466179340329925,0.7931309389229542,"{""Binance"":0.8723404255319149,""BitMEX"":0.09219858156028368,""KuCoin"":0.014184397163120567,""OKX"":0.02127659574468085}"
Bitfinex|BitMEX|Bitstamp|Coinbase|KuCoin|OKX,6,81,7.712765197718164e-05,38,0.4691358024691358,0.4904080286751808,0.7886467640435829,"{""BitMEX"":0.5185185185185185,""Bitfinex"":0.012345679012345678,""Coinbase"":0.2716049382716049,""KuCoin"":0.04938271604938271,""OKX"":0.14814814814814814}"
Binance|Bitfinex|Coinbase|KuCoin|OKX,5,887,0.0008445953988118533,856,0.9650507328072153,0.9026783543914616,0.9721134393526487,"{""Binance"":0.9763246899661782,""Bitfinex"":0.0011273957158962795,""Coinbase"":0.015783540022547914,""KuCoin"":0.0033821871476888386,""OKX"":0.0033821871476888386}"
Binance|Bitstamp|Coinbase|KuCoin|OKX,5,337,0.0003208891199544471,323,0.9584569732937686,0.9006946674996763,0.9713396560316043,"{""Binance"":0.9792284866468842,""Coinbase"":0.008902077151335312,""KuCoin"":0.002967359050445104,""OKX"":0.008902077151335312}"
Binance|BitMEX|Coinbase|KuCoin|OKX,5,177,0.00016853820246865618,140,0.7909604519774012,0.694719750045117,0.9478507906912633,"{""Binance"":0.8700564971751412,""BitMEX"":0.1016949152542373,""Coinbase"":0.005649717514124294,""KuCoin"":0.005649717514124294,""OKX"":0.01694915254237288}"
Binance|Bitfinex|Bitstamp|Coinbase|KuCoin,5,168,0.00015996846336008045,168,1.0,0.9025062147476095,0.9711328310940222,"{""Binance"":1.0}"
Binance|Bitfinex|BitMEX|Coinbase|KuCoin,5,72,6.85579128686059e-05,70,0.9722222222222222,0.8783191552255005,0.9681616434038726,"{""Binance"":0.9722222222222222,""BitMEX"":0.027777777777777776}"
Binance|Bitfinex|BitMEX|Coinbase|OKX,5,18,1.7139478217151476e-05,16,0.8888888888888888,0.7797326489216669,0.9086957744166596,"{""Binance"":0.9444444444444444,""OKX"":0.05555555555555555}"
Binance|BitMEX|Bitstamp|Coinbase|KuCoin,5,6,5.713159405717159e-06,5,0.8333333333333334,0.8086041610184863,0.9652427126162443,"{""Binance"":0.8333333333333334,""BitMEX"":0.16666666666666666}"
Binance|BitMEX|Bitstamp|KuCoin|OKX,5,3,2.8565797028585794e-06,3,1.0,0.6773785147561573,0.686066207784059,"{""Binance"":1.0}"
Binance|Bitfinex|BitMEX|KuCoin|OKX,5,2,1.9043864685723863e-06,2,1.0,0.82221477768798,0.8785513536983435,"{""Binance"":1.0}"
Binance|Bitfinex|Bitstamp|Coinbase|OKX,5,2,1.9043864685723863e-06,2,1.0,0.8472365908911167,0.8793253677098688,"{""Binance"":1.0}"
Binance|Bitfinex|Bitstamp|KuCoin|OKX,5,1,9.521932342861931e-07,0,0.0,0.46290201970329115,0.46290201970329115,"{""Binance"":1.0}"
Binance|Coinbase|KuCoin|OKX,4,25,2.3804830857154827e-05,24,0.96,0.9108549599878984,0.9631089659079017,"{""Binance"":0.96,""Coinbase"":0.04}"
Binance|Bitfinex|Coinbase|KuCoin,4,16,1.523509174857909e-05,16,1.0,0.9407962838592288,0.9763982623187745,"{""Binance"":1.0}"
Binance|Coinbase|KuCoin,3,1,9.521932342861931e-07,1,1.0,0.8570149910514201,0.8570149910514201,"{""Binance"":1.0}"
