missing_venue_set,valid_venue_count,minutes,share_of_valid_minutes
,7,1008835,0.9606058615111116
Bitstamp,6,16445,0.015658817737836447
BitMEX,6,15798,0.015042748715253278
Bitfinex,6,4625,0.004403893708573643
OKX,6,1451,0.001381632382949266
KuCoin,6,1116,0.0010626476494633916
BitMEX|Bitstamp,5,887,0.0008445953988118533
Bitfinex|BitMEX,5,337,0.0003208891199544471
Bitfinex|Bitstamp,5,177,0.00016853820246865618
BitMEX|OKX,5,168,0.00015996846336008045
Coinbase,6,141,0.00013425924603435323
Binance,6,81,7.712765197718164e-05
Bitstamp|OKX,5,72,6.85579128686059e-05
Bitfinex|BitMEX|Bitstamp,4,25,2.3804830857154827e-05
Bitstamp|KuCoin,5,18,1.7139478217151476e-05
BitMEX|Bitstamp|OKX,4,16,1.523509174857909e-05
Bitfinex|OKX,5,6,5.713159405717159e-06
Bitfinex|Coinbase,5,3,2.8565797028585794e-06
Bitstamp|Coinbase,5,2,1.9043864685723863e-06
BitMEX|KuCoin,5,2,1.9043864685723863e-06
BitMEX|Coinbase,5,1,9.521932342861931e-07
Bitfinex|BitMEX|Bitstamp|OKX,3,1,9.521932342861931e-07
