bin_id,x_left,x_right,x_center,n,q95_rel_gap_dom,median_rel_gap_dom
0,0.1858863065273828,0.3222084652543739,0.2540473858908784,34473,0.0012511294973744475,0.0002953565975886862
1,0.3222084652543739,0.347776059239043,0.3349922622467084,34433,0.0012560350304520018,0.00029390376733822425
2,0.347776059239043,0.3661953153403271,0.35698568728968505,34467,0.0012177150855263914,0.0002923603771156979
3,0.3661953153403271,0.3816573906802286,0.3739263530102779,34456,0.0012061040574731748,0.0002918386055311596
4,0.3816573906802286,0.3954889427061316,0.3885731666931801,34413,0.001181363531617734,0.00028837018119052437
5,0.3954889427061316,0.4084709008909692,0.4019799217985504,34408,0.001147461066575571,0.00028464257539956907
6,0.4084709008909692,0.4208093020292618,0.41464010146011554,34353,0.0011298618108679373,0.00027880875354470164
7,0.4208093020292618,0.4329803145640383,0.42689480829665005,34405,0.0010957254330963813,0.00027482279285743447
8,0.4329803145640383,0.444920756303171,0.4389505354336046,34326,0.0010732381911983324,0.00026710997818083296
9,0.444920756303171,0.4570741153301756,0.4509974358166733,34321,0.0010319974517477657,0.000260160045222618
10,0.4570741153301756,0.4693988809207108,0.4632364981254432,34303,0.0010062151075549278,0.0002527650503164285
11,0.4693988809207108,0.4820994243151266,0.4757491526179187,34306,0.0009730433309447541,0.00024573891314324587
12,0.4820994243151266,0.4952601028829388,0.4886797635990327,34290,0.000927778407360783,0.000238169047040427
13,0.4952601028829388,0.5089636550657733,0.502111878974356,34241,0.0008950139521765736,0.0002324742188604476
14,0.5089636550657733,0.5235824709864912,0.5162730630261323,34219,0.000869909036362447,0.0002241721732787152
15,0.5235824709864912,0.5390943792287936,0.5313384251076424,34224,0.0008283627992956667,0.00021704307151261857
16,0.5390943792287936,0.5558800521728245,0.547487215700809,34142,0.0007940944632084799,0.00020705018068089268
17,0.5558800521728245,0.5740096401326112,0.5649448461527179,34109,0.0007472044948016623,0.0002002086771651245
18,0.5740096401326112,0.5942650466991753,0.5841373434158933,34094,0.0007372413288216764,0.00019218809590727532
19,0.5942650466991753,0.6170708072981415,0.6056679269986585,33993,0.0006747488567647242,0.0001818798716780379
20,0.6170708072981415,0.6435040890801595,0.6302874481891505,33905,0.0006410221278878248,0.00017626761891106787
21,0.6435040890801595,0.6740024827361973,0.6587532859081784,33837,0.0005902746715292064,0.00017155125181836622
22,0.6740024827361973,0.7078105817282393,0.6909065322322183,33716,0.0005475891344551176,0.00016336761192387668
23,0.7078105817282393,0.7421642163731287,0.724987399050684,33517,0.0004910149458784138,0.00015850857304328618
24,0.7421642163731287,0.7747344345782126,0.7584493254756706,33348,0.00042148124456775117,0.00014341010599961727
25,0.7747344345782126,0.804787582394702,0.7897610084864572,32990,0.00035253350528514763,0.00012513253106441745
26,0.804787582394702,0.8342645593699238,0.8195260708823129,32522,0.0002843299792532429,0.00010502493831245505
27,0.8342645593699238,0.863856043269203,0.8490603013195634,31739,0.00022082392525101142,8.592727248375296e-05
28,0.863856043269203,0.8988592642197116,0.8813576537444573,30591,0.00015988002683782143,6.582337343199885e-05
29,0.8988592642197116,0.9945077405352594,0.9466835023774856,26694,9.92218467538812e-05,4.04048339123503e-05
