bin_id,x_left,x_right,x_center,n,q95_rel_gap_dom,median_rel_gap_dom
0,0.1858863065273828,0.3222084652543739,0.2540473858908784,5776,0.000809156773367502,0.00015822772969275033
1,0.3222084652543739,0.347776059239043,0.3349922622467084,8482,0.0008487681191476967,0.00014962093316189438
2,0.347776059239043,0.3661953153403271,0.35698568728968505,10319,0.0008254807561088196,0.00014293912627889432
3,0.3661953153403271,0.3816573906802286,0.3739263530102779,11873,0.0008102216599256769,0.00014063350430311937
4,0.3816573906802286,0.3954889427061316,0.3885731666931801,13412,0.0008155532693972347,0.00013607261853516416
5,0.3954889427061316,0.4084709008909692,0.4019799217985504,14772,0.000803640524480053,0.000131262377128405
6,0.4084709008909692,0.4208093020292618,0.41464010146011554,16584,0.0008006066710827347,0.00013033655285817425
7,0.4208093020292618,0.4329803145640383,0.42689480829665005,18528,0.0007587975242893716,0.0001279054689268891
8,0.4329803145640383,0.444920756303171,0.4389505354336046,19959,0.0007357331035451908,0.0001266767328862605
9,0.444920756303171,0.4570741153301756,0.4509974358166733,21896,0.0007340904948686358,0.0001232879401343152
10,0.4570741153301756,0.4693988809207108,0.4632364981254432,23570,0.0006984706915229104,0.00012118234190349524
11,0.4693988809207108,0.4820994243151266,0.4757491526179187,25198,0.0006663838373787113,0.00011743311210129113
12,0.4820994243151266,0.4952601028829388,0.4886797635990327,27608,0.0006628175963871728,0.00011668456763514682
13,0.4952601028829388,0.5089636550657733,0.502111878974356,29879,0.0006135187740842231,0.00011422623891784602
14,0.5089636550657733,0.5235824709864912,0.5162730630261323,33007,0.0005963813636814271,0.00011068351890716508
15,0.5235824709864912,0.5390943792287936,0.5313384251076424,35670,0.0005601700971382422,0.00010970440602389657
16,0.5390943792287936,0.5558800521728245,0.547487215700809,39449,0.0005338498157245464,0.00010616903357389955
17,0.5558800521728245,0.5740096401326112,0.5649448461527179,42782,0.0005011773414232591,0.00010298451070176061
18,0.5740096401326112,0.5942650466991753,0.5841373434158933,48372,0.00046247202000385254,9.753443489957502e-05
19,0.5942650466991753,0.6170708072981415,0.6056679269986585,53084,0.0004278453700173148,9.241348800572436e-05
20,0.6170708072981415,0.6435040890801595,0.6302874481891505,59244,0.0003978800404628637,8.670575574840623e-05
21,0.6435040890801595,0.6740024827361973,0.6587532859081784,61621,0.0003639509618900003,8.047314151256316e-05
22,0.6740024827361973,0.7078105817282393,0.6909065322322183,60479,0.0003294898097413824,7.404501022879028e-05
23,0.7078105817282393,0.7421642163731287,0.724987399050684,53614,0.0003012620482815623,6.949663797790084e-05
24,0.7421642163731287,0.7747344345782126,0.7584493254756706,46149,0.00028732719899610305,6.83726632625553e-05
25,0.7747344345782126,0.804787582394702,0.7897610084864572,42190,0.0002741148668675117,6.83976037665771e-05
26,0.804787582394702,0.8342645593699238,0.8195260708823129,42704,0.0002311943529925054,6.40582763032834e-05
27,0.8342645593699238,0.863856043269203,0.8490603013195634,45269,0.00018559362552492942,5.678588591207261e-05
28,0.863856043269203,0.8988592642197116,0.8813576537444573,51802,0.0001326212205487154,4.568337261338274e-05
29,0.8988592642197116,0.9945077405352594,0.9466835023774856,61340,7.534334400774811e-05,2.8023985204287078e-05
