bin_id,x_left,x_right,x_center,n,q95_rel_gap_dom,ci_low,ci_high,median_rel_gap_dom
0,0.168,0.329,0.2485,48695,0.0009662599782830848,0.0009451989789506379,0.0009835605548216394,0.00029442689868416444
1,0.329,0.357,0.34299999999999997,48694,0.0009244612760788341,0.0009067392101823005,0.0009362103039221273,0.0002881582414341367
2,0.357,0.377,0.367,48694,0.0008964294184113866,0.0008808219549096135,0.0009070734628555202,0.00027939006285326363
3,0.377,0.394,0.3855,48694,0.0008731334483170807,0.0008572794946312068,0.0008786170645823882,0.0002729812469806795
4,0.394,0.408,0.401,48694,0.0008474143685884539,0.0008343987164205807,0.00086301157395657,0.00026626045997439607
5,0.408,0.422,0.415,48694,0.0008294836697947029,0.0008154900493110608,0.0008473273014926831,0.0002566852752457409
6,0.422,0.434,0.428,48694,0.0008091874305576119,0.0007998571422237388,0.000822447387665071,0.0002535065633308657
7,0.434,0.447,0.4405,48694,0.0007865608466980708,0.000775879115833352,0.0007999074858591337,0.0002466549755143542
8,0.447,0.459,0.453,48694,0.0007682242424113345,0.0007507625340240079,0.0007783124530541765,0.0002398012117957238
9,0.459,0.471,0.46499999999999997,48694,0.0007475435671237369,0.0007362063109348212,0.0007552791771859764,0.00022994219101410253
10,0.471,0.483,0.477,48694,0.0007265130987309369,0.0007193970489303723,0.0007420356997593778,0.0002237854182885731
11,0.483,0.495,0.489,48694,0.0007094545493447177,0.0007001738341230451,0.0007208128915538785,0.00022028866026083127
12,0.495,0.507,0.501,48694,0.0006786287385843515,0.0006692360862573634,0.0006878463896587946,0.00021352881705633442
13,0.507,0.52,0.5135000000000001,48694,0.0006560500727655254,0.0006446837054965802,0.0006639422990537679,0.00020767006254009688
14,0.52,0.533,0.5265,48694,0.0006309787263700915,0.0006266477313446778,0.0006450685787156582,0.00019910869415672096
15,0.533,0.547,0.54,48695,0.0006141205385734163,0.0005995509727891072,0.0006180884810888245,0.00019356321208222952
16,0.547,0.561,0.554,48694,0.0005852100425489873,0.0005815235181412021,0.0005999660041371449,0.00018756294526778403
17,0.561,0.575,0.5680000000000001,48694,0.0005702817062701879,0.0005625522929871257,0.0005795088881977471,0.0001781265675948398
18,0.575,0.591,0.583,48694,0.00053945056616034,0.0005293981477413,0.0005456348201342364,0.00017206938839285912
19,0.591,0.607,0.599,48694,0.0005194420716673682,0.000511701856905531,0.0005290209226657853,0.0001655466620205687
20,0.607,0.625,0.616,48694,0.0004869149165545466,0.00047825737878130835,0.0004952210435324619,0.00015653441581545526
21,0.625,0.644,0.6345000000000001,48694,0.000470936605494785,0.0004663312065184753,0.00047977948093815974,0.00014994243515194507
22,0.644,0.666,0.655,48694,0.0004396771338671742,0.00043700043769571333,0.00045262662003600797,0.0001405198931295931
23,0.666,0.691,0.6785,48694,0.00041111682516517604,0.00040648527423685897,0.00041991265013543484,0.00013065659150930848
24,0.691,0.72,0.7055,48694,0.0003811271890858051,0.0003749240494070122,0.00038673955581949534,0.00012089610855863542
25,0.72,0.754,0.737,48694,0.00034894451380394775,0.00033873489442888993,0.0003499997878109703,0.00011095805703780509
26,0.754,0.797,0.7755000000000001,48694,0.0003123316679914628,0.00030988171340273665,0.0003214798304197164,0.00010033536106935896
27,0.797,0.845,0.821,48694,0.00027983298111522225,0.0002750287147926019,0.000288110217563035,9.209150642742611e-05
28,0.845,0.897,0.871,48694,0.0002328029720445869,0.000228332707870425,0.00024160260698375766,7.549709424515947e-05
29,0.897,0.996,0.9465,48694,0.0001304065063286877,0.00012739400797143877,0.00013447670380849046,3.977140239165521e-05
