bin_id,x_left,x_right,x_center,n,q95_rel_gap_dom,ci_low,ci_high,median_rel_gap_dom
0,0.196,0.375,0.2855,35040,0.0007372788617286458,0.0007226108840968699,0.000770511240290857,0.00013507170070364063
1,0.375,0.403,0.389,35040,0.0007432188404498379,0.0007227847285830383,0.0007667197639800792,0.0001327390765257256
2,0.403,0.423,0.41300000000000003,35040,0.0007241946928965694,0.0007081970985958656,0.000752587340797063,0.00013229513887305235
3,0.423,0.44,0.4315,35040,0.0007014220637808185,0.0006931701418038214,0.0007271252421593608,0.00013135521826294964
4,0.44,0.454,0.447,35040,0.0006861382344231947,0.000674066829623386,0.0007101202497360922,0.0001296705361432574
5,0.454,0.467,0.4605,35040,0.0006924433351251366,0.00067606167721966,0.0007091987003110695,0.00012796324820756966
6,0.467,0.479,0.473,35040,0.0006601616168952132,0.000646789695557897,0.0006812136992023557,0.00012673867963293009
7,0.479,0.492,0.4855,35040,0.0006332822575775768,0.0006279650178726018,0.0006567645318369505,0.00012254386819293705
8,0.492,0.503,0.4975,35040,0.0006214542356361387,0.0006069008587081693,0.0006337044903427239,0.00011930407552161206
9,0.503,0.515,0.509,35040,0.0006043156886589684,0.0005989023486344231,0.0006255487988765156,0.00011882172938186214
10,0.515,0.527,0.521,35040,0.0005872135901243007,0.000571984528070928,0.000601740989698909,0.00011785928393942823
11,0.527,0.538,0.5325,35040,0.0005525714386381725,0.0005348571230812287,0.0005619466235577502,0.00011464368995162625
12,0.538,0.549,0.5435000000000001,35040,0.0005483832278929603,0.0005348942581523912,0.0005643366608625282,0.00011168949717544946
13,0.549,0.561,0.555,35040,0.000529854027680027,0.0005217079988918213,0.0005459626241119111,0.00011003099445417271
14,0.561,0.572,0.5665,35040,0.0005010526929640695,0.0004943670848191674,0.0005204557910428707,0.00010668373048255214
15,0.572,0.583,0.5774999999999999,35040,0.0004946151661655641,0.0004752887697925908,0.0005020457186300948,0.0001054459141835606
16,0.583,0.595,0.589,35040,0.0004708779476190505,0.0004587382656423337,0.0004827916487652868,0.00010245936993317313
17,0.595,0.607,0.601,35040,0.00045272409266715265,0.0004512043411433292,0.0004743553928330159,0.0001018740871002774
18,0.607,0.619,0.613,35040,0.0004361711956283691,0.0004230383329739662,0.0004428417059491874,9.769329495594743e-05
19,0.619,0.631,0.625,35040,0.0004181123757029286,0.0004122423190330423,0.00043345192418573755,9.472459674447565e-05
20,0.631,0.644,0.6375,35040,0.00039334289403512894,0.0003768127673883904,0.0003969645469969007,9.162097567622599e-05
21,0.644,0.657,0.6505000000000001,35040,0.0003712984965341903,0.0003650148995626549,0.00038189802867441975,8.821029742501497e-05
22,0.657,0.671,0.664,35040,0.00034868338439495675,0.0003389379294190374,0.0003553027533603354,8.423579711062988e-05
23,0.671,0.687,0.679,35040,0.0003329177209877889,0.00032234514681963824,0.00034078080933026286,7.986548958472651e-05
24,0.687,0.704,0.6955,35040,0.0003057029986081648,0.00030147049329081615,0.00031425208342405136,7.602531316316333e-05
25,0.704,0.722,0.713,35040,0.0002860453802916914,0.0002775478379927605,0.00029183349615239653,7.147270694099315e-05
26,0.722,0.744,0.733,35040,0.0002602208170147129,0.00025259729691587125,0.0002645676333312206,6.550958002797385e-05
27,0.744,0.771,0.7575000000000001,35040,0.00022560385439759377,0.00022066812216214328,0.00023078905322537557,5.8711732489915735e-05
28,0.771,0.81,0.7905,35040,0.00018809679113638417,0.00018394475054777585,0.00019136271245883307,4.8760402224812865e-05
29,0.81,0.986,0.898,35039,0.00013494055526440212,0.00013043090445502144,0.00013717101701686622,3.217745104556766e-05
