check_id,check_name,status,severity,scenario,value,threshold,message
SOURCE_001,Required sheet or CSV source available,PASS,INFO,ALL,excel:main_contrast_summary,sheet present or fallback CSV present,Loaded main_contrast_summary from excel:main_contrast_summary.
SOURCE_001,Required sheet or CSV source available,PASS,INFO,ALL,excel:diagnostics,sheet present or fallback CSV present,Loaded diagnostics from excel:diagnostics.
SOURCE_001,Required sheet or CSV source available,PASS,INFO,ALL,excel:lwmp_pivot_switchability,sheet present or fallback CSV present,Loaded lwmp_pivot_switchability from excel:lwmp_pivot_switchability.
SOURCE_001,Required sheet or CSV source available,PASS,INFO,ALL,excel:settlement_pass_through,sheet present or fallback CSV present,Loaded settlement_pass_through from excel:settlement_pass_through.
SOURCE_001,Required sheet or CSV source available,PASS,INFO,ALL,excel:scenario_summary,sheet present or fallback CSV present,Loaded scenario_summary from excel:scenario_summary.
SOURCE_001,Required sheet or CSV source available,PASS,INFO,ALL,excel:dominant_distribution,sheet present or fallback CSV present,Loaded dominant_distribution from excel:dominant_distribution.
SOURCE_001,Required sheet or CSV source available,PASS,INFO,ALL,excel:spell_summary,sheet present or fallback CSV present,Loaded spell_summary from excel:spell_summary.
SOURCE_001,Required sheet or CSV source available,PASS,INFO,ALL,excel:vwap_proximity_bins,sheet present or fallback CSV present,Loaded vwap_proximity_bins from excel:vwap_proximity_bins.
SCENARIO_001,Expected scenarios present in main_contrast_summary,PASS,INFO,ALL,"['EXCL_Binance', 'EXCL_BitMEX', 'EXCL_Bitfinex', 'EXCL_Bitstamp', 'EXCL_Coinbase', 'EXCL_KuCoin', 'EXCL_OKX', 'FULL']","['FULL', 'EXCL_Binance', 'EXCL_Bitfinex', 'EXCL_BitMEX', 'EXCL_Bitstamp', 'EXCL_Coinbase', 'EXCL_KuCoin', 'EXCL_OKX']",Main contrast scenarios match expected list.
SCENARIO_002,Expected scenarios present in scenario_summary,PASS,INFO,ALL,"['EXCL_Binance', 'EXCL_BitMEX', 'EXCL_Bitfinex', 'EXCL_Bitstamp', 'EXCL_Coinbase', 'EXCL_KuCoin', 'EXCL_OKX', 'FULL']","['FULL', 'EXCL_Binance', 'EXCL_Bitfinex', 'EXCL_BitMEX', 'EXCL_Bitstamp', 'EXCL_Coinbase', 'EXCL_KuCoin', 'EXCL_OKX']",Scenario summary scenarios match expected list.
SCENARIO_003,n_exchanges_used is correct,PASS,INFO,FULL,7,7,FULL uses 7 exchanges; expected 7.
SCENARIO_004,valid_minutes close to full sample,PASS,INFO,FULL,1051200,>= 99% of FULL valid_minutes,FULL valid minutes are 1.000000 of FULL.
SCENARIO_005,"lockin_share in [0,1]",PASS,INFO,FULL,0.5549305555555556,"[0,1]",lockin_share=0.5549305555555556 for FULL.
SCENARIO_005,"median_max_share in [0,1]",PASS,INFO,FULL,0.5235665366929418,"[0,1]",median_max_share=0.5235665366929418 for FULL.
SCENARIO_005,"p90_max_share in [0,1]",PASS,INFO,FULL,0.8342022878574714,"[0,1]",p90_max_share=0.8342022878574714 for FULL.
